Fichero: data/datos_1X.txt, K: 4, Procesos: 1, Hilos: 1, MAPE: 3.03%, T_Total: 21.6268s, T_Lectura: 0.0586s, T_Scatter: 0.0001s, T_Calc(Avg): 0.0365s, T_Comm(Avg): 0.0045s
Fichero: data/datos_1X.txt, K: 4, Procesos: 1, Hilos: 2, MAPE: 3.03%, T_Total: 19.4559s, T_Lectura: 0.0143s, T_Scatter: 0.0001s, T_Calc(Avg): 0.0681s, T_Comm(Avg): 0.0045s
Fichero: data/datos_1X.txt, K: 4, Procesos: 1, Hilos: 3, MAPE: 3.03%, T_Total: 20.6984s, T_Lectura: 0.0131s, T_Scatter: 0.0001s, T_Calc(Avg): 0.1159s, T_Comm(Avg): 0.0049s
Fichero: data/datos_1X.txt, K: 4, Procesos: 1, Hilos: 4, MAPE: 3.03%, T_Total: 21.3586s, T_Lectura: 0.0145s, T_Scatter: 0.0001s, T_Calc(Avg): 0.1119s, T_Comm(Avg): 0.0046s
Fichero: data/datos_1X.txt, K: 4, Procesos: 2, Hilos: 1, MAPE: 3.03%, T_Total: 17.6924s, T_Lectura: 0.0133s, T_Scatter: 0.0002s, T_Calc(Avg): 0.0266s, T_Comm(Avg): 8.8300s
Fichero: data/datos_1X.txt, K: 4, Procesos: 2, Hilos: 2, MAPE: 3.03%, T_Total: 17.0182s, T_Lectura: 0.0124s, T_Scatter: 0.0001s, T_Calc(Avg): 0.0748s, T_Comm(Avg): 8.4812s
Fichero: data/datos_1X.txt, K: 4, Procesos: 2, Hilos: 3, MAPE: 3.03%, T_Total: 19.2824s, T_Lectura: 0.0118s, T_Scatter: 0.0001s, T_Calc(Avg): 0.1192s, T_Comm(Avg): 9.5944s
Fichero: data/datos_1X.txt, K: 4, Procesos: 2, Hilos: 4, MAPE: 3.03%, T_Total: 19.2003s, T_Lectura: 0.0124s, T_Scatter: 0.0001s, T_Calc(Avg): 0.1241s, T_Comm(Avg): 9.5489s
Fichero: data/datos_1X.txt, K: 4, Procesos: 3, Hilos: 1, MAPE: 3.03%, T_Total: 17.6030s, T_Lectura: 0.0236s, T_Scatter: 0.0002s, T_Calc(Avg): 0.0192s, T_Comm(Avg): 11.7144s
Fichero: data/datos_1X.txt, K: 4, Procesos: 3, Hilos: 2, MAPE: 3.03%, T_Total: 14.5416s, T_Lectura: 0.0157s, T_Scatter: 0.0002s, T_Calc(Avg): 0.0632s, T_Comm(Avg): 9.6548s
Fichero: data/datos_1X.txt, K: 4, Procesos: 3, Hilos: 3, MAPE: 3.03%, T_Total: 13.2211s, T_Lectura: 0.0172s, T_Scatter: 0.0002s, T_Calc(Avg): 0.1252s, T_Comm(Avg): 8.7658s
Fichero: data/datos_1X.txt, K: 4, Procesos: 3, Hilos: 4, MAPE: 3.03%, T_Total: 12.0391s, T_Lectura: 0.0141s, T_Scatter: 0.0001s, T_Calc(Avg): 0.6318s, T_Comm(Avg): 7.9280s
Fichero: data/datos_1X.txt, K: 4, Procesos: 4, Hilos: 1, MAPE: 3.03%, T_Total: 16.6615s, T_Lectura: 0.0200s, T_Scatter: 0.0001s, T_Calc(Avg): 0.0161s, T_Comm(Avg): 12.4674s
Fichero: data/datos_1X.txt, K: 4, Procesos: 4, Hilos: 2, MAPE: 3.03%, T_Total: 13.0678s, T_Lectura: 0.0126s, T_Scatter: 0.0002s, T_Calc(Avg): 0.0530s, T_Comm(Avg): 9.7577s
Fichero: data/datos_1X.txt, K: 4, Procesos: 4, Hilos: 3, MAPE: 3.03%, T_Total: 12.2066s, T_Lectura: 0.0153s, T_Scatter: 0.0001s, T_Calc(Avg): 0.5343s, T_Comm(Avg): 9.0936s
Fichero: data/datos_1X.txt, K: 4, Procesos: 4, Hilos: 4, MAPE: 3.03%, T_Total: 16.9681s, T_Lectura: 0.0176s, T_Scatter: 0.0001s, T_Calc(Avg): 5.1393s, T_Comm(Avg): 10.1253s
Fichero: data/datos_10X.txt, K: 4, Procesos: 1, Hilos: 1, MAPE: 0.00%, T_Total: 23.4263s, T_Lectura: 0.0505s, T_Scatter: 0.0012s, T_Calc(Avg): 0.3427s, T_Comm(Avg): 0.0048s
Fichero: data/datos_10X.txt, K: 4, Procesos: 1, Hilos: 2, MAPE: 0.00%, T_Total: 21.4757s, T_Lectura: 0.0628s, T_Scatter: 0.0011s, T_Calc(Avg): 0.2429s, T_Comm(Avg): 0.0045s
Fichero: data/datos_10X.txt, K: 4, Procesos: 1, Hilos: 3, MAPE: 0.00%, T_Total: 22.4924s, T_Lectura: 0.0528s, T_Scatter: 0.0011s, T_Calc(Avg): 0.3275s, T_Comm(Avg): 0.0048s
Fichero: data/datos_10X.txt, K: 4, Procesos: 1, Hilos: 4, MAPE: 0.00%, T_Total: 20.7716s, T_Lectura: 0.1095s, T_Scatter: 0.0017s, T_Calc(Avg): 0.3271s, T_Comm(Avg): 0.0051s
Fichero: data/datos_10X.txt, K: 4, Procesos: 2, Hilos: 1, MAPE: 0.00%, T_Total: 20.5475s, T_Lectura: 0.0532s, T_Scatter: 0.0011s, T_Calc(Avg): 0.1834s, T_Comm(Avg): 10.1628s
Fichero: data/datos_10X.txt, K: 4, Procesos: 2, Hilos: 2, MAPE: 0.00%, T_Total: 17.8918s, T_Lectura: 0.0529s, T_Scatter: 0.0013s, T_Calc(Avg): 0.1728s, T_Comm(Avg): 8.8460s
Fichero: data/datos_10X.txt, K: 4, Procesos: 2, Hilos: 3, MAPE: 0.00%, T_Total: 20.1652s, T_Lectura: 0.0529s, T_Scatter: 0.0015s, T_Calc(Avg): 0.2260s, T_Comm(Avg): 9.9547s
Fichero: data/datos_10X.txt, K: 4, Procesos: 2, Hilos: 4, MAPE: 0.00%, T_Total: 20.4267s, T_Lectura: 0.0527s, T_Scatter: 0.0011s, T_Calc(Avg): 0.2285s, T_Comm(Avg): 10.0908s
Fichero: data/datos_10X.txt, K: 4, Procesos: 3, Hilos: 1, MAPE: 0.00%, T_Total: 18.6079s, T_Lectura: 0.0621s, T_Scatter: 0.0012s, T_Calc(Avg): 0.1447s, T_Comm(Avg): 12.2670s
Fichero: data/datos_10X.txt, K: 4, Procesos: 3, Hilos: 2, MAPE: 0.00%, T_Total: 15.2597s, T_Lectura: 0.0502s, T_Scatter: 0.0010s, T_Calc(Avg): 0.1507s, T_Comm(Avg): 10.0525s
Fichero: data/datos_10X.txt, K: 4, Procesos: 3, Hilos: 3, MAPE: 0.00%, T_Total: 13.7705s, T_Lectura: 0.0510s, T_Scatter: 0.0010s, T_Calc(Avg): 0.2909s, T_Comm(Avg): 9.0499s
Fichero: data/datos_10X.txt, K: 4, Procesos: 3, Hilos: 4, MAPE: 0.00%, T_Total: 13.2755s, T_Lectura: 0.0614s, T_Scatter: 0.0011s, T_Calc(Avg): 0.9963s, T_Comm(Avg): 8.5867s
